month,hour,avg_power,n_obs
1,0,457.7204688387096,93
1,1,457.4221984866666,93
1,2,456.47037316774197,93
1,3,449.430299455914,93
1,4,448.6329061325806,93
1,5,448.2778349462365,93
1,6,454.4334840430107,93
1,7,449.53428640860216,93
1,8,441.54494117741933,93
1,9,438.91779241935484,93
1,10,445.634079827957,93
1,11,450.5395673978495,93
1,12,439.29959341935484,93
1,13,436.71493331182796,93
1,14,431.4991712903226,93
1,15,434.763894,93
1,16,448.44034842677416,93
1,17,448.49157998064516,93
1,18,446.31791718924734,93
1,19,448.08829608602156,93
1,20,447.98590780645156,93
1,21,442.0943613548387,93
1,22,450.1944750827957,93
1,23,455.4556152739785,93
2,0,472.10143219047615,84
2,1,468.930228464881,84
2,2,471.08404645595243,84
2,3,473.8663991547619,84
2,4,473.1226004940477,84
2,5,470.9681709642857,84
2,6,469.09727475,84
2,7,463.13083739285713,84
2,8,460.8612730357143,84
2,9,461.53750915833336,84
2,10,461.3828388333333,84
2,11,462.3766327428571,84
2,12,463.90948757142854,84
2,13,461.20621879761904,84
2,14,460.1497589523809,84
2,15,462.2315509523809,84
2,16,465.6330976904762,84
2,17,468.70981554761903,84
2,18,472.11735770714284,84
2,19,476.34566989285713,84
2,20,479.6568039642857,84
2,21,479.72715736904763,84
2,22,473.5096448928571,84
2,23,469.61164555833335,84
3,0,449.73439855053766,93
3,1,450.7328034247312,93
3,2,454.03163353978493,93
3,3,455.89036144462364,93
3,4,451.94197597634405,93
3,5,451.1251668526882,93
3,6,451.80604213978495,93
3,7,449.46243601612906,93
3,8,447.64429194086017,93
3,9,448.21799886236556,93
3,10,439.1470951010753,93
3,11,435.82775130107524,93
3,12,429.26734258064516,93
3,13,427.49763646236556,93
3,14,431.9504376774193,93
3,15,435.3120279354839,93
3,16,438.03725956666665,93
3,17,439.5326152989247,93
3,18,441.4444215698925,93
3,19,443.99708145483874,93
3,20,449.67436407634403,93
3,21,453.83738180537637,93
3,22,446.2666474623656,93
3,23,447.26033786021503,93
4,0,411.28166701111115,90
4,1,408.85729278888886,90
4,2,410.40025645555556,90
4,3,409.2440332,90
4,4,404.0784972777778,90
4,5,403.6183032888889,90
4,6,408.39865890777776,90
4,7,413.2870367666667,90
4,8,413.16845804999997,90
4,9,411.2619994666667,90
4,10,399.78816856222227,90
4,11,407.2524369277778,90
4,12,416.3297435777778,90
4,13,421.8127438722222,90
4,14,423.26405721888887,90
4,15,422.93542798888893,90
4,16,424.89635807999997,90
4,17,420.553232834,90
4,18,418.94942461111106,90
4,19,415.7787104866666,90
4,20,409.85028782222224,90
4,21,403.8270859944444,90
4,22,402.3361566911111,90
4,23,404.3482409877778,90
5,0,414.46166013978495,93
5,1,417.8034120430108,93
5,2,412.36692531182797,93
5,3,404.5866625483871,93
5,4,394.3785185483871,93
5,5,384.85169103225803,93
5,6,379.02281278494627,93
5,7,378.7395997419355,93
5,8,377.2973556698925,93
5,9,373.9184028494623,93
5,10,361.684650204301,93
5,11,373.4748134623656,93
5,12,382.05126040860216,93
5,13,384.8720699354839,93
5,14,387.64010788172044,93
5,15,392.02271767741934,93
5,16,401.9299050645161,93
5,17,411.3851297861291,93
5,18,416.3583971182795,93
5,19,416.83399406021505,93
5,20,410.50851320430104,93
5,21,405.2369410860215,93
5,22,400.26376824408607,93
5,23,405.39550405376343,93
6,0,355.1474237388889,90
6,1,360.26124485555556,90
6,2,369.1163636722222,90
6,3,371.5143187922222,90
6,4,376.6048727788889,90
6,5,375.58943217555554,90
6,6,368.5078117755555,90
6,7,364.02787324444444,90
6,8,355.774269457,90
6,9,348.72856767999997,90
6,10,318.2236014222222,90
6,11,333.80794126666666,90
6,12,338.1507671666667,90
6,13,337.1551588722222,90
6,14,335.2481346444444,90
6,15,335.43196316333336,90
6,16,338.5314701811111,90
6,17,341.7182632911111,90
6,18,343.16395457411113,90
6,19,345.62804728444445,90
6,20,341.0214284224889,90
6,21,338.2018460333333,90
6,22,345.4387203044444,90
6,23,359.4908376677778,90
7,0,338.7234318741935,93
7,1,346.0422252494624,93
7,2,354.85223084494623,93
7,3,357.71450046720435,93
7,4,352.05080319999996,93
7,5,349.372337960215,93
7,6,349.3390339731183,93
7,7,342.09325724731184,93
7,8,331.61461862365593,93
7,9,320.08484072688174,93
7,10,302.3632015268817,93
7,11,309.88740540860215,93
7,12,314.0272627311828,93
7,13,315.63988054301075,93
7,14,319.6454027849462,93
7,15,327.1431198172043,93
7,16,329.47786957634406,93
7,17,325.40494590860214,93
7,18,315.65403469139784,93
7,19,307.8435667387097,93
7,20,304.1124400860215,93
7,21,297.0528173204301,93
7,22,298.83438477419355,93
7,23,316.0419166043011,93
8,0,356.39879888172044,93
8,1,356.59370703978493,93
8,2,357.4173741505377,93
8,3,355.2300666881721,93
8,4,351.2077435666667,93
8,5,349.87509803473114,93
8,6,349.509132,93
8,7,348.2144140967742,93
8,8,345.61759930860217,93
8,9,346.7329468096774,93
8,10,342.0539560903226,93
8,11,348.44256076344084,93
8,12,355.78703544193553,93
8,13,358.9987762741936,93
8,14,358.6653391311828,93
8,15,359.4829196344086,93
8,16,358.0023644252688,93
8,17,352.73390559139784,93
8,18,345.8513466204301,93
8,19,340.9289025053763,93
8,20,339.8780211236559,93
8,21,339.26412148064514,93
8,22,343.5552253056989,93
8,23,352.3821640537634,93
9,0,387.99989539333336,90
9,1,379.85761215555556,90
9,2,378.00787859999997,90
9,3,376.40266900000006,90
9,4,376.94589453333333,90
9,5,371.2665307111111,90
9,6,369.8633928333333,90
9,7,372.15915394,90
9,8,373.07611636111113,90
9,9,372.88050669111107,90
9,10,367.3671286188889,90
9,11,377.63392143888893,90
9,12,384.9017590311111,90
9,13,396.2916945717778,90
9,14,408.6047798611111,90
9,15,411.0982392111111,90
9,16,414.8994651933333,90
9,17,416.07270249111116,90
9,18,416.18995049999995,90
9,19,413.12083365222225,90
9,20,406.85156302222225,90
9,21,405.3133814888889,90
9,22,405.3823438333334,90
9,23,399.51446330111116,90
10,0,487.413077860215,93
10,1,482.67709321075273,93
10,2,472.44706294623654,93
10,3,468.68775208064517,93
10,4,468.65445043440866,93
10,5,471.3885755591398,93
10,6,466.36883876021506,93
10,7,467.26176567741936,93
10,8,478.698040827957,93
10,9,476.2319445591398,93
10,10,469.9416862580645,93
10,11,467.828496627957,93
10,12,465.372406983871,93
10,13,462.39391254838705,93
10,14,460.9058709677419,93
10,15,468.24997402150535,93
10,16,478.6051745849462,93
10,17,485.7200725107527,93
10,18,487.2707514408602,93
10,19,486.62821703655914,93
10,20,484.10345839784947,93
10,21,484.88524327956986,93
10,22,486.92916641935483,93
10,23,493.48593723655915,93
11,0,434.04280803333336,90
11,1,435.09886503333337,90
11,2,440.37533665555554,90
11,3,445.5740404333333,90
11,4,450.7029822222222,90
11,5,450.8725682622222,90
11,6,450.7482178044445,90
11,7,453.8842949,90
11,8,457.57823964444447,90
11,9,461.9222804822223,90
11,10,465.8007264222222,90
11,11,468.2960849055556,90
11,12,460.66407537777775,90
11,13,457.3842773311111,90
11,14,460.2185855555556,90
11,15,460.35231485222226,90
11,16,458.52982328888885,90
11,17,457.3099521177778,90
11,18,452.8819221333333,90
11,19,448.4529237111111,90
11,20,436.3017266444445,90
11,21,430.81981027222224,90
11,22,426.4278069666667,90
11,23,427.31853124444444,90
12,0,515.6538824193549,93
12,1,501.7949294086022,93
12,2,493.6763496731183,93
12,3,492.80365074086023,93
12,4,490.2968856129032,93
12,5,486.0904166344086,93
12,6,487.0563938172043,93
12,7,491.7706708064516,93
12,8,492.46967758064517,93
12,9,494.9491937204301,93
12,10,490.8318780086022,93
12,11,494.0322056881721,93
12,12,494.9694491935484,93
12,13,489.1608168172043,93
12,14,489.90359086021505,93
12,15,480.4841166236559,93
12,16,481.07105125806453,93
12,17,482.9869365591398,93
12,18,485.99422608602146,93
12,19,495.1446811505377,93
12,20,502.7773634946236,93
12,21,510.0952901075269,93
12,22,513.5984579569893,93
12,23,519.4439330430108,93
